tag,n_pts,n_vert,area,D,rstar,ratio,covered,G_in_poly,unbounded,cx,cy,Dcx,Dcy
A,2,4,1116.0842796441793,52.6566217801317,26.32831089006585,0.5,True,True,False,-259.6574173326026,-302.0462070800162,-259.6574173326026,-302.0462070800162
B,3,3,455.61162872474233,35.84628257763679,19.03203323783775,0.5309346428494416,False,True,False,-216.6885901664572,694.0463918962987,-211.2801843588153,690.6217105787123
C,4,4,306.69502256384294,27.332986272821913,13.666493136410956,0.5,True,True,False,-587.3665795546943,276.57817607344225,-587.3665795546943,276.57817607344225
