统计指标,最小值,最大值,均值,标准差
平均定位清除时间 (秒),333.7,506.4,403.5,64.0
定位清除总时间 (秒),4004.7,6026.3,4956.8,709.6
移动耗时 (秒),3195.3,4960.3,3999.5,624.1
检测耗时 (秒),605.0,835.0,744.5,82.3
频道切换耗时 (秒),117.0,166.0,146.3,16.8
单源主动清除耗时 (秒),23.9,511.0,145.0,84.2
指令总数,136,180,163,16
