测试案例编码,清除干扰源个数,平均定位清除时间 (秒),程序运行时间 (秒)
5T4T-Q82P-PGEJ-8K6K,11,430.57,0.46
F75K-SFZA-7QM2-393Z,12,334.00,0.35
P3K6-KUQP-XHUB-RP7D,12,398.67,0.21
