dmax,t_star,L_star,A_worst
300.0,295.1189798418852,37.812536642805306,15.968166860587138
400.0,395.06327729746295,44.15888027885178,25.197276514161683
500.0,495.0236029142759,49.765766743952426,35.94347917694444
600.0,594.9920108196567,54.8589760656784,48.10289613309986
700.0,694.9650594770583,59.56984413643604,61.60056662249669
800.0,794.9410200223758,63.98261276957542,76.37935056601252
900.0,894.9189284807582,68.155069196028,92.39399618640127
1000.0,994.8982004655418,72.1288496264054,109.60764053999567
1100.0,1000.7293807459287,92.22462105112422,271.74422316443474
1200.0,989.1414790352522,177.293825865936,628.988075738606
1300.0,972.2344533145481,253.79467741146766,1075.0853144876623
1400.0,951.6915358481101,322.0519843991573,1616.3319830607477
1500.0,928.7947841716598,382.7988695361539,2259.8422274990667
